title,director,country,year,genre,weighted_average_vote,total_votes
No Dorai,Taneem Rahman Angshu,Bangladesh,2019,Drama,7.2,296
Sathru,Naveen Nanjundan,India,2019,Thriller,6,226
Upin & Ipin: Keris Siamang Tunggal,"Adam Bin Amiruddin, Syed Nurfaiz Khalid bin Syed Ibrahim",Malaysia,2019,Animation,7.9,440
VFW,Joe Begos,USA,2019,"Action, Crime, Horror",6.1,4178
The Pilgrim's Progress,Robert Fernandez,USA,2019,"Animation, Adventure, Family",5.7,442
Coffee & Kareem,Michael Dowse,USA,2020,"Action, Comedy",5.1,10627
Ashoftegi,Fereydoun Jeyrani,Iran,2019,"Crime, Mystery, Thriller",3.9,138
Columbus,Hatef Alimardani,Iran,2018,"Comedy, Drama",4,209
Lupin III: La menzogna di Fujiko Mine,Takeshi Koike,Japan,2019,"Animation, Adventure, Crime",6.9,103
Kaithi,Lokesh Kanagaraj,India,2019,"Action, Thriller",8.5,8400
Jessie,Aswani Kumar V.,India,2019,"Horror, Thriller",7,318
Enemy Lines,Anders Banke,UK,2020,War,5,764
Ottam,Zam,India,2019,Drama,7.4,494
Pengalila,T.V. Chandran,India,2019,Drama,8.8,553
Manoharam,Anvar Sadik,India,2019,"Comedy, Drama",6.8,491
Le lion,Ludovic Colbeau-Justin,"France, Belgium",2020,Comedy,5.3,398
De Beentjes van Sint-Hildegard,Johan Nijenhuis,Netherlands,2020,"Comedy, Drama",7.7,724
Padmavyuhathile Abhimanyu,Vineesh Aaradya,India,2019,Drama,7.9,265
La vida sense la Sara Amat,Laura Jou,Spain,2019,Drama,6.7,102
