PIN ,Pin number in processor,NAME ,MODE0 ,MODE1 ,MODE2 ,MODE3 ,MODE4 ,MODE6 ,MODE7,
1,2,  ,  ,  ,  ,GND ,  ,  ,  , 
3,R9 ,GPIO1_6 ,gpmc_ad6 ,mmc1_dat6 ,  ,  ,  ,  ,GPIO1[6],
4,T9 ,GPIO1_7 ,gpmc_ad7 ,mmc1_dat7 ,  ,  ,  ,  ,GPIO1[7],
5,R8 ,GPIO1_2 ,gpmc_ad2 ,mmc1_dat2 ,  ,  ,  ,  ,GPIO1[2],
6,T8 ,GPIO1_3 ,gpmc_ad3 ,mmc1_dat3 ,  ,  ,  ,  ,GPIO1[3],
7,R7 ,TIMER4 ,gpmc_advn_ale ,  ,timer4 ,  ,  ,  ,GPIO2[2],
8,T7 ,TIMER7 ,gpmc_oen_ren ,  ,timer7 ,  ,  ,  ,GPIO2[3],
9,T6 ,TIMER5 ,gpmc_be0n_cle ,  ,timer5 ,  ,  ,  ,GPIO2[5],
10,U6 ,TIMER6 ,gpmc_wen ,  ,timer6 ,  ,  ,  ,GPIO2[4],
11* ,R12 ,GPIO1_13 ,gpmc_ad13 ,lcd_data18 ,mmc1_dat5* ,mmc2_dat1 ,eQEP2B_in ,  ,GPIO1[13],
12* ,T12 ,GPIO1_12 ,gpmc_ad12 ,lcd_data19 ,mmc1_dat4* ,mmc2_dat0 ,eQEP2A_in ,  ,GPIO1[12],
13* ,T10 ,EHRPWM2B ,gpmc_ad9 ,lcd_data22 ,mmc1_dat1* ,mmc2_dat5 ,ehrpwm2B ,  ,GPIO0[23],
14* ,T11 ,GPIO1_26 ,gpmc_ad10 ,lcd_data21 ,mmc1_dat2* ,mmc2_dat6 ,ehrpwm_tripzone ,  ,GPIO0[26],
15* ,U13 ,GPIO1_15 ,gpmc_ad15 ,lcd_data16 ,mmc1_dat7* ,mmc2_dat3 ,eQEP2_strobe ,  ,GPIO1[15],
16* ,V13 ,GPIO1_14 ,gpmc_ad14 ,lcd_data17 ,mmc1_dat6* ,mmc2_dat2 ,eQEP2_index ,  ,GPIO1[14],
17* ,U12 ,GPIO1_27 ,gpmc_ad11 ,lcd_data20 ,mmc1_dat3* ,mmc2_dat7 ,ehrpwm0_synco ,  ,GPIO0[27],
18,V12 ,GPIO2_1 ,gpmc_clk_mux0 ,lcd_memory_clk ,gpmc_wait1 ,mmc2_clk ,  ,mcasp0_fsr ,GPIO2[1],
